Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.21,-1.29,29.8%,2790,0.5%,Milio | Lissandra | Karma | Sona | Meepsie
Brawler Emblem,A,4.01,-0.27,17.3%,19238,3.8%,Master Yi | The Mighty Mech | Nunu & Willump | Fiora | Riven
Voyager Emblem,A,4.07,-0.25,17.1%,20753,4.1%,Bard | Aurelion Sol | Sona | Illaoi | Riven
Dark Star Emblem,A,4.20,-0.23,15.2%,44323,8.7%,Aurelion Sol | Riven | Bard | Xayah | Blitzcrank
Marauder Emblem,B,4.14,-0.20,17.0%,14606,2.9%,Kindred | Riven | Graves | Jhin | Kai'Sa
Rogue Emblem,B,4.21,-0.18,12.4%,19784,3.9%,Corki | Jhin | Karma | Blitzcrank | Fiora
Shepherd Emblem,C,4.39,-0.09,13.4%,13631,2.7%,Karma | Mordekaiser | Blitzcrank | Nunu & Willump | Bard
Bastion Emblem,C,4.41,-0.09,12.4%,16661,3.3%,Riven | The Mighty Mech | Nunu & Willump | Tahm Kench | Maokai
Psionic Emblem,C,4.44,-0.07,12.9%,13541,2.6%,Fiora | Urgot | Blitzcrank | Tahm Kench | Karma
N.O.V.A. Emblem,C,4.46,-0.07,13.2%,15061,2.9%,Master Yi | Fiora | Urgot | Bel'Veth | Riven
Timebreaker Emblem,C,4.47,-0.07,12.7%,16240,3.2%,Fizz | Corki | Jhin | The Mighty Mech | Bard
Primordian Emblem,C,4.49,-0.05,12.6%,9487,1.9%,Maokai | Tahm Kench | The Mighty Mech | Cho'Gath | Illaoi
Vanguard Emblem,C,4.54,-0.04,13.4%,18851,3.7%,Meepsie | The Mighty Mech | Diana | Tahm Kench | LeBlanc
Meeple Emblem,C,4.55,-0.04,12.6%,20831,4.1%,Riven | The Mighty Mech | Milio | Nunu & Willump | Shen
Stargazer Emblem,C,4.55,-0.03,14.8%,24736,4.8%,Milio | Maokai | Pantheon | Aatrox | Rhaast
Tactician's Cape,C,4.34,-0.01,13.5%,4672,0.9%,Milio | Lissandra | Bel'Veth | Urgot | Karma
Tactician's Shield,C,3.91,-0.00,16.2%,154,0.0%,Meepsie | Mordekaiser | Cho'Gath | Rhaast | Karma
Challenger Emblem,D,4.65,+0.01,11.6%,14409,2.8%,Master Yi | Fiora | LeBlanc | Urgot | Riven
Sniper Emblem,D,4.75,+0.05,12.2%,12360,2.4%,Kai'Sa | Karma | Bard | Corki | Riven
Space Groove Emblem,D,4.78,+0.06,10.8%,12894,2.5%,Riven | Nunu & Willump | Karma | Tahm Kench | Illaoi
Arbiter Emblem,D,4.95,+0.12,9.3%,11383,2.2%,Illaoi | Karma | Nunu & Willump | Mordekaiser | Blitzcrank
Anima Emblem,D,5.07,+0.16,11.9%,8751,1.7%,Meepsie | Mordekaiser | The Mighty Mech | Maokai | Tahm Kench
